숙소id,지하철id,도보거리(m)
3530122,224,702
3530517,R23,110
3752069,L15,300
3758296,A16,454
3760029,G18,353
3760824,M10,660
3765095,D27,229
3678829,F24,663
3685704,G32,1126
3542523,L08,971
3767156,J28,217
3769052,410,129
3779230,A47,1484
3780113,225,313
3922417,A30,405
3923128,Q03,304
3689140,133,161
3939535,F05,383
3783021,120,253
3785438,G36,420
3791244,133,398
3791325,G35,783
3793161,G16,415
3803622,640,103
3710685,714,336
3713233,251,597
3715638,624,637
4070025,F18,480
4074248,L11,220
3945636,R04,686
3817666,A25,401
3835681,R03,644
3838375,A18,441
3953314,608,2775
4081707,F22,1732
4110645,R42,331
4121363,621,455
3953415,608,2713
3962389,247,2848
3963635,A47,182
3839717,713,547
3848105,A49,315
3850493,247,2464
3851911,A46,885
3968434,115,56
4126676,125,428
4128337,A47,364
4128428,632,287
4132116,D31,510
4134035,R29,993
3979611,B06,603
3852261,H06,360
3852538,R30,326
3866888,632,443
3985673,726,517
3987571,A46,234
3987599,J29,75
3989564,A47,377
3998977,A18,346
4136252,224,341
4140776,G08,1279
4152752,A25,430
4162119,A44,745
4162292,D31,798
4162519,D30,330
3873451,Q04,363
4010865,A18,70
3889997,A31,68
3891031,229,302
3902156,R30,184
4271877,J30,462
4016142,M18,179
4162667,238,752
4169094,R03,479
4174847,M05,652
4020425,619,215
4025329,224,231
4026150,709,259
4031463,D01,374
4033422,S21,3533
4285522,224,82
4293040,G32,951
4293935,248,559
4033444,250,575
4033521,A49,976
4183424,133,232
4183801,A48,928
4183989,226,344
4198695,D32,888
4037522,G18,849
4038794,113,567
4296710,407,550
4296956,L29,1478
4297952,A30,414
4299536,A45,459
4303600,G33,695
4305170,A44,271
4053517,G28,311
4206034,S30,2071
4216813,L11,1190
4058515,G34,432
4059620,637,66
4060446,A02,583
4338548,A47,649
4343913,A27,574
4349358,A22,307
4067820,607,910
4225738,A42,347
4233006,R43,783
4235620,F02,2938
4241028,G05,2287
4452723,J12,34
4352537,L06,605
4354764,L29,1166
4355934,115,321
4453484,L08,614
4455301,G35,221
4456312,405,917
4249342,230,179
4260964,A14,214
4263802,A43,321
4264049,G18,1126
4264127,G18,356
4265471,A45,672
4464508,D28,308
4359718,L19,440
4377929,L06,524
4378951,A47,633
4469650,225,207
4268286,622,422
4573728,F15,205
4576206,D25,543
4472978,726,345
4492303,123,291
4387152,L08,735
4396939,A27,675
4397455,L29,2297
4399443,622,163
4594389,Q05,279
4498688,A46,530
4498927,A12,125
4426780,224,459
4428854,G26,179
4500530,R18,48
4614091,R34,126
4614838,A27,716
4504115,J28,299
4431674,227,208
4436944,241,85
4621213,A21,456
4621217,L06,530
4621713,L05,172
4509560,L06,530
4513084,A12,243
4514042,J31,377
4517848,A10,289
4525334,251,828
4440751,F14,167
4707959,A11,469
4711070,713,100
4711396,R05,1100
4629870,A42,243
4632795,A20,384
4637053,R05,874
4637146,J31,460
4530432,A10,244
4532913,L08,360
4714854,Q05,158
4537500,R05,422
4538012,A14,788
4539480,G26,372
4643199,627,469
4644669,B08,209
4645170,A27,570
4645319,L27,263
4660022,R22,197
4539943,J28,294
4541102,244,835
4738429,608,2638
4545999,S03,432
4668244,226,664
4668252,Q04,353
4677654,J28,393
4549557,224,194
4550602,248,567
4688209,226,299
4688418,Q04,689
4556564,115,266
4557370,A03,195
4559096,A27,583
4742068,N04,631
4747624,F16,413
4705670,G19,503
4787201,A47,572
4790969,D27,419
4904582,D07,178
4753639,115,452
4753866,114,350
4753918,J31,440
4756551,D27,431
4907861,M09,331
4795857,A10,265
4798723,F11,589
4807244,F26,655
4916340,122,426
4920338,Q03,691
4759680,F21,1382
4760085,236,309
4760107,A42,243
4766284,622,90
4768778,G26,129
4920448,121,516
4808239,F11,838
4813342,A25,218
4815953,J30,574
4820897,G36,287
4822181,Q04,542
4920489,R11,527
4925368,J30,387
4927910,J30,386
4928303,248,568
4782569,N06,574
4936254,M18,508
4823386,709,259
4823529,A18,219
4824310,L13,295
4824361,G30,406
4783902,134,460
4784570,J31,824
4786675,L08,725
5083907,G35,313
4947515,G26,306
4956469,F01,6467
4830799,F22,1141
4963237,502,547
4963511,502,791
5085803,Q05,310
5094593,701,6140
5095468,624,233
5106041,244,845
5106749,R06,543
4968633,A47,524
4968798,708,984
4845290,L05,268
4976848,F15,48
4978241,224,479
5113910,F22,1726
5115870,G08,1476
5121827,G08,1496
5125051,M11,198
4987238,R21,393
4860430,A20,384
4860650,F25,811
4862917,236,373
4987929,R05,608
4880542,G30,408
4881420,L01,199
5144689,225,414
5150206,114,410
5175054,A27,744
5004463,D33,961
5006113,A34,169
5010368,Q04,602
5013564,D25,508
5020687,701,208
4885673,L02,512
4886168,S03,546
5353312,Q04,607
5195568,D37,277
5199439,Q04,363
5224210,256,550
5231817,B08,774
5050156,635,267
5058359,A06,185
5065185,120,153
5353612,133,568
5358354,A25,550
5362041,A15,119
5363874,632,650
5237336,G35,1105
5251340,F21,1126
5628539,633,272
5638917,G28,1074
5647213,A48,824
5649163,G33,693
5389907,R05,220
5397568,114,607
5406041,L06,782
5649623,124,414
5269840,252,917
5274268,227,608
5287414,634,451
5287733,H02,1041
5291956,R34,472
5661631,A47,558
5663222,226,626
5413565,L14,268
5414911,701,1899
5433746,J29,587
5434150,A32,488
5439372,226,361
5442054,G36,229
5297292,A49,578
5298896,R27,232
5301003,F24,638
5309959,J13,620
5442313,A50,326
5442584,D14,148
5443318,A25,550
5445314,F18,368
5454050,A25,550
5469274,J31,790
5679938,M22,65
5681182,L13,500
5319785,L06,934
5320325,A14,313
5320983,F18,3897
5336588,621,404
5693879,D24,299
5695055,627,470
5478741,633,279
5509771,F24,775
5511036,S03,292
5697237,A25,550
5706280,Q03,471
5715049,F24,258
5340262,701,1899
5343821,F11,443
5352301,251,1050
5839268,133,454
5846745,236,305
5519207,621,464
5520934,L08,451
5521689,F11,204
5536824,633,217
5538410,244,566
5719742,123,352
5856685,M16,516
5860123,G34,521
5866656,B13,486
5748301,G09,498
5749237,133,85
5545560,A19,93
5567361,D27,176
5568524,A28,643
5756464,627,327
5762947,701,1899
5579240,G05,1364
5590262,714,425
5592990,117,746
5873714,L05,134
5882725,G30,153
5884835,634,470
5889379,220,405
5892794,F22,381
5897622,A16,516
5770483,A25,218
5771366,S29,1318
5593975,A47,563
5606308,M16,1007
5616298,124,467
5783517,A46,748
5931103,G34,789
5944801,A15,255
5947617,H07,337
5797144,F14,526
5627090,L12,244
6105742,Q04,552
6130145,714,237
5806273,114,139
5965198,F29,571
5979363,M16,994
5979675,J22,397
5989528,F26,644
6000898,625,407
5811500,M06,271
5815437,J31,364
6138423,A19,109
6146783,D30,274
6005868,G29,271
6018589,112,203
6303109,F21,956
6303845,G33,613
6304002,G33,729
6181131,S30,3884
6031001,L10,266
6040757,238,527
6052119,R34,526
6185599,A10,176
6194461,G08,281
6326681,F14,358
6328394,A14,571
6329973,R15,182
6333994,M19,68
6221877,R44,423
6225968,A12,287
6066563,608,2607
6069703,M16,876
6078234,121,439
6079079,F01,1743
6084475,719,155
6091850,R05,429
6343641,D26,96
6226794,Q03,576
6227680,244,651
6228461,R44,423
6237443,237,413
6237974,A49,734
6242600,A47,51
6094046,R15,154
6101104,Q04,718
6447136,M09,250
6348972,225,390
6355861,D28,422
6356070,A50,485
6357128,225,275
6255597,A43,281
6256470,D07,610
6359111,632,319
6452188,225,374
6460353,D27,197
6269945,Q04,256
6380118,M09,309
6465850,A16,189
6474699,250,502
6476333,621,470
6384275,A44,319
6282629,302,594
6291371,R44,423
6601284,R33,908
6602263,Q04,566
6407534,F14,318
6477558,632,465
6492185,D40,944
6492778,G34,512
6613106,F24,539
6421429,502,860
6500246,G34,502
6501082,M16,1120
6507084,621,934
6422511,701,1246
6634590,A15,209
6640144,627,429
6520350,H06,421
6737249,A17,78
6744791,A12,526
6746003,S29,1425
6645788,L06,137
6647114,133,280
6654323,234,501
6747685,637,262
6764316,F18,424
6765697,R04,551
6659165,M10,894
6660511,636,307
6660518,F06,921
6767047,J29,482
6559615,R44,423
6559926,Q04,923
6576336,J13,846
6585028,H06,219
6780285,L12,603
6784207,M10,398
6670064,R01,520
6670191,A45,427
6678082,A48,522
6685220,252,2204
6786761,A27,419
6787310,A27,642
6586663,F15,314
6590570,224,311
6596747,133,432
6795568,A27,705
6692633,237,532
6799692,A27,705
6799814,A27,442
6892731,D39,306
6896737,R01,1173
6897066,A33,33
6900168,711,466
6799895,A27,436
6799932,A27,454
6704737,224,103
6716020,F27,875
6799999,A25,478
6800277,A27,450
6913773,L16,165
6913969,L16,175
6921831,A15,241
6717053,701,2727
6726337,104,548
6730582,F01,4230
6808818,J29,482
6823282,A25,956
6827028,M11,975
6833395,F16,109
6939597,619,292
7019195,B10,189
7024138,Q05,332
6846956,L08,862
7034787,G19,110
7037791,A47,1148
6863691,F20,516
6868777,A22,544
6977204,A15,432
6880480,D34,410
7037918,706,1976
7038801,248,324
7053502,G36,427
7053815,L11,759
6883096,R05,326
6992300,115,231
6992831,D31,261
7177666,R32,764
7054797,F01,4519
7067406,134,458
7071657,Q04,587
7182079,F20,250
7004408,A33,175
7194538,A15,524
7072541,J30,654
7329781,M19,159
7331070,F01,7789
7202368,A48,854
7204443,F18,4032
7205064,A07,48
7094112,636,282
7368173,R32,487
7376952,A22,461
7132891,J31,322
7254952,R32,391
7254986,F21,534
7381236,A47,456
7261928,253,590
7265079,D25,786
7516218,F18,446
7389120,D39,1096
7272680,G32,372
7277102,F25,706
7278762,G11,505
7413605,M18,300
7426597,F23,179
7294773,L06,781
7436186,D31,509
7461611,242,619
7462019,246,521
7556153,234,501
7556669,A42,243
7557546,R01,765
7654931,J31,459
7480520,A31,165
7483910,301,658
7664692,N03,770
7673007,721,929
7594252,R34,629
7498074,Q03,306
7501694,613,1098
7502146,613,957
7800835,A48,360
7679697,A25,506
7692660,613,905
7603716,R45,340
