stop_id,stop_name,stop_lat,stop_lon
400853,W 72 ST/WEST END AV,40.779553,-73.984116
400856,BROADWAY/W 68 ST,40.775414,-73.982417
400858,BROADWAY/W 64 ST,40.771797,-73.982364
400860,BROADWAY/W 61 ST,40.76947,-73.982326
400861,COLUMBUS CIRCLE/8 AV,40.767676,-73.982261
400890,WEST HOUSTON ST/GREENE ST,40.72623,-73.998164
400903,STATE ST/BRIDGE ST,40.704209,-74.014192
400910,CHURCH ST/CHAMBERS ST,40.714954,-74.007835
400913,6 AV/WHITE ST,40.719318,-74.005054
400916,6 AV/BROOME ST,40.724232,-74.004455
400917,6 AV/SPRING ST,40.72573,-74.00387
400919,6 AV/WEST HOUSTON ST,40.7287,-74.00254
400929,6 AV/W 23 ST,40.743027,-73.992644
400933,6 AV/W 34 ST,40.74986,-73.987669
400936,6 AV/W 42 ST,40.755109,-73.983786
400938,6 AV/W 47 ST,40.75829,-73.981468
400940,6 AV/W 51 ST,40.760748,-73.97967
400941,6 AV/W 54 ST,40.762617,-73.978301
400943,CENTRAL PARK SOUTH/6 AV,40.766128,-73.977019
400948,7 AV/W 58 ST,40.766137,-73.979694
400950,7 AV/W 54 ST,40.763718,-73.981405
400988,BROADWAY/THAMES ST,40.708643,-74.011062
401014,CENTRAL PARK SOUTH/7 AV,40.767201,-73.979581
401015,CENTRAL PARK SOUTH/COLUMBUS CIRCLE,40.767838,-73.981242
401016,BROADWAY/W 61 ST,40.769517,-73.981883
401021,AMSTERDAM AV/W 72 ST,40.778924,-73.981271
401022,AMSTERDAM AV/W 75 ST,40.78088,-73.979904
401023,AMSTERDAM AV/W 77 ST,40.782056,-73.978988
401024,AMSTERDAM AV/W 79 ST,40.78328,-73.978085
401025,AMSTERDAM AV/W 81 ST,40.784688,-73.97707
401026,AMSTERDAM AV/W 83 ST,40.785955,-73.976152
401027,AMSTERDAM AV/W 86 ST,40.787953,-73.974696
401029,AMSTERDAM AV/W 91 ST,40.791085,-73.972405
401030,AMSTERDAM AV/W 93 ST,40.792344,-73.97148
401031,AMSTERDAM AV/W 96 ST,40.794323,-73.970039
401032,AMSTERDAM AV/W 98 ST,40.795601,-73.969106
401033,AMSTERDAM AV/W 100 ST,40.796869,-73.968181
401034,AMSTERDAM AV/W 102 ST,40.798005,-73.967398
401035,AMSTERDAM AV/W 104 ST,40.799391,-73.966341
401036,W 106 ST/AMSTERDAM AV,40.800184,-73.965359
401037,W 106 ST/COLUMBUS AV,40.798989,-73.962527
401038,MANHATTAN AV/W 106 ST,40.798937,-73.96118
401039,MANHATTAN AV/W 109 ST,40.800471,-73.960056
401044,W 116 ST/FREDERICK DOUGLASS BLVD,40.804229,-73.955203
401045,W 116 ST/ADAM C POWELL BLVD,40.802908,-73.952032
401047,MALCOLM X BLVD/W 119 ST,40.804171,-73.947943
401051,MALCOLM X BLVD/W 127 ST,40.809382,-73.944138
401052,MALCOLM X BLVD/W 129 ST,40.810635,-73.943223
401055,LENOX AV/W 135 ST,40.814194,-73.940599
401056,MALCOLM X BLVD/W 137 ST,40.81575,-73.939483
401069,MALCOLM X BLVD/W 135 ST,40.813711,-73.94132
401070,MALCOLM X BLVD/W 132 ST,40.811953,-73.942601
401074,MALCOLM X BLVD/W 122 ST,40.805595,-73.947252
401078,W 116 ST/SAINT NICHOLAS AV,40.803561,-73.953097
401079,W 116 ST/FREDERICK DOUGLASS BLVD,40.804421,-73.955141
401084,MANHATTAN AV/W 108 ST,40.799754,-73.960764
401085,MANHATTAN AV/W 106 ST,40.798802,-73.961459
401086,COLUMBUS AV/W 106 ST,40.798915,-73.963235
401087,COLUMBUS AV/W 102 ST,40.796671,-73.964838
401088,COLUMBUS AV/W 100 ST,40.795065,-73.966047
401090,COLUMBUS AV/W 94 ST,40.791289,-73.96879
401091,COLUMBUS AV/W 92 ST,40.790024,-73.969719
401092,COLUMBUS AV/W 89 ST,40.788158,-73.971085
401093,COLUMBUS AV/W 86 ST,40.786185,-73.97253
401094,COLUMBUS AV/W 84 ST,40.784895,-73.973466
401096,COLUMBUS AV/W 78 ST,40.780996,-73.976309
401099,COLUMBUS AV/W 72 ST,40.777085,-73.97916
401100,COLUMBUS AV/W 69 ST,40.775251,-73.980548
401101,COLUMBUS AV/W 66 ST,40.773753,-73.981594
401139,GRAND ST/CLINTON ST,40.715758,-73.986415
401140,GRAND ST/PITT ST,40.715164,-73.984467
401141,GRAND ST/EAST BROADWAY,40.714594,-73.982301
401142,GRAND ST/JACKSON ST,40.71408,-73.980611
401147,GRAND ST/COLUMBIA ST,40.714486,-73.981455
401149,GRAND ST/PITT ST,40.715328,-73.984449
401150,GRAND ST/CLINTON ST,40.716095,-73.986873
401168,EAST BROADWAY/FORSYTH ST,40.713675,-73.994096
401169,EAST BROADWAY/PIKE ST,40.713808,-73.99265
401182,E 14 ST/AVENUE B,40.729501,-73.978117
401183,E 14 ST/AVENUE A,40.730455,-73.980421
401191,E 14 ST/3 AV,40.733008,-73.986729
401192,E 14 ST/2 AV,40.732083,-73.984535
401193,E 14 ST/1 AV,40.731086,-73.982172
401194,E 14 ST/AVENUE A,40.730404,-73.980445
401195,E 14 ST/AVENUE B,40.72942,-73.978171
401202,ESSEX ST/EAST HOUSTON ST,40.721859,-73.986612
401206,ESSEX ST/GRAND ST,40.716867,-73.989185
401208,EAST BROADWAY/PIKE ST,40.713947,-73.992385
401209,EAST BROADWAY/MARKET ST,40.71373,-73.995011
401210,EAST BROADWAY/CATHERINE ST,40.71351,-73.997626
401220,HUDSON ST/PERRY ST,40.735435,-74.005921
401223,8 AV/W 14 ST,40.739885,-74.002263
401224,8 AV/W 17 ST,40.741899,-74.000808
401225,8 AV/W 20 ST,40.743642,-73.999538
401227,8 AV/W 25 ST,40.746845,-73.997203
401229,8 AV/W 28 ST,40.748684,-73.995864
401231,8 AV/W 34 ST,40.752329,-73.993258
401232,8 AV/W 37 ST,40.75396,-73.992034
401239,8 AV/W 52 ST,40.763788,-73.984867
401248,CENTRAL PARK WEST/W 72 ST,40.776516,-73.975596
401250,CENTRAL PARK WEST/W 77 ST,40.779818,-73.97319
401252,CENTRAL PARK WEST/W 81 ST,40.78223,-73.97152
401253,CENTRAL PARK WEST/W 84 ST,40.784035,-73.970126
401254,CENTRAL PARK WEST/W 87 ST,40.785681,-73.968984
401255,CENTRAL PARK WEST/W 88 ST,40.786848,-73.968059
401256,CENTRAL PARK WEST/W 90 ST,40.788071,-73.967205
401257,CENTRAL PARK WEST/W 92 ST,40.789324,-73.966253
401258,CENTRAL PARK WEST/W 94 ST,40.790539,-73.965364
401259,CENTRAL PARK WEST/W 97 ST,40.792222,-73.964215
401261,CENTRAL PARK WEST/W 100 ST,40.794507,-73.962472
401262,CENTRAL PARK WEST/W 102 ST,40.79575,-73.961561
401263,CENTRAL PARK WEST/W 104 ST,40.797034,-73.960632
401264,CENTRAL PARK WEST/W 106 ST,40.798297,-73.959714
401265,CENTRAL PARK WEST/W 108 ST,40.799706,-73.958746
401267,FREDERICK DOUGLASS BLVD/W 111 ST,40.801444,-73.957433
401268,FREDERICK DOUGLASS BLVD/W 113 ST,40.802747,-73.956482
401269,FREDERICK DOUGLASS BLVD/W 116 ST,40.804742,-73.955025
