id,bus_stop,w_distance
852632.0,3 AV/14 ST,69
853142.0,SAINT NICHOLAS AV/W 164 ST,70
854396.0,FLUSHING AV/WYCKOFF AV,271
856918.0,5 AV/GARFIELD PL,213
857810.0,METROPOLITAN AV/LEONARD ST,170
864981.0,5 AV/45 ST,133
786685.0,AMSTERDAM AV/W 140 ST,67
787060.0,E 34 ST/PARK AV,178
788005.0,VANDERBILT AV/STERLING PL,125
748118.0,pulaski br/box st,202
749276.0,DECATUR ST/IRVING AV,56
752289.0,WEST HOUSTON ST/SULLIVAN ST,20
951365.0,DE KALB AV/SENECA AV,353
951439.0,W 81 ST/COLUMBUS AV,84
953314.0,LEXINGTON AV/E 28 ST,160
867020.0,FRANKLIN ST/GREEN ST,24
873701.0,FRANKLIN AV/EASTERN PKWY,121
874706.0,CHURCH AV/E 7 ST,56
876355.0,BROADWAY/LA SALLE ST,73
794156.0,CENTRAL PARK WEST/W 64 ST,93
804194.0,MONTROSE AV/BUSHWICK AV,41
883480.0,CATHEDRAL PKWY/AMSTERDAM AV,166
886808.0,46 AV/158 ST,430
887355.0,1 AV/E 36 ST,69
890794.0,82 ST/ROOSEVELT AV,1272
890839.0,WASHINGTON AV/ATLANTIC AV,164
805028.0,BERGEN ST/4 AV,191
956412.0,YORK ST/JAY ST,140
958444.0,CITY ISLAND AV/BEACH ST,171
973535.0,ASTORIA BLVD SOUTH/77 ST,155
973653.0,FREDERICK DOUGLASS BLVD/W 148 ST,155
975250.0,RALPH AV/BROADWAY,41
975990.0,ATLANTIC AV/HENRY ST,556
978386.0,HOYT AV SOUTH/31 ST,1869
805218.0,GREENPOINT AV/McGUINNESS BLVD,85
808476.0,RIVERSIDE DR/W 156 ST,647
811238.0,MALCOLM X BLVD/W 122 ST,92
813225.0,DE KALB AV/CARLTON AV,150
896535.0,W 86 ST/CENTRAL PK WEST,79
904060.0,GATES AV/CLASSON AV,7
909859.0,7 AV/GARFIELD PL,131
918049.0,6 AV/W 18 ST,10
982038.0,DE KALB AV/CARLTON AV,150
982276.0,MADISON ST/MARKET ST,46
983625.0,MOUNT MORRIS PARK WEST/W 124 ST,84
986727.0,5 AV/W 128 ST,13
990367.0,ADAM C POWELL BLVD/W 123 ST,162
814327.0,YORK AV/E 76 ST,138
816888.0,BROADWAY/W 187 ST,232
817113.0,NEW YORK AV/STERLING PL,81
818325.0,2 AV/E 33 ST,160
919830.0,W 23 ST/8 AV,144
921500.0,NOSTRAND AV/SAINT JOHNS PL,122
927408.0,LAFAYETTE AV/WASHINGTON AV,111
818481.0,W 135 ST/BROADWAY,229
990529.0,E 42 ST/2 AV,6
993514.0,COLUMBUS AV/W 86 ST,71
993575.0,W 86 ST/AMSTERDAM AV,151
993576.0,W 86 ST/COLUMBUS AV,199
1009883.0,SMITH ST/DOUGLASS ST,191
1010785.0,21 ST/BROADWAY,770
818518.0,BROADWAY/W 135 ST,72
819206.0,MADISON AV/E 101 ST,199
819228.0,BROADWAY/W 137 ST,81
819893.0,RIVERSIDE DR/W 137 ST,74
819956.0,HALSEY ST/STUYVESANT AV,276
936218.0,MORNINGSIDE AV/W 125 ST,87
939657.0,MALCOLM X BLVD/W 129 ST,145
940116.0,5 AV/45 ST,109
945297.0,E 14 ST/1 AV,253
1138727.0,8 AV/W  56 ST,149
1141120.0,BROADWAY/MADISON ST,218
1018529.0,LORIMER ST/BAYARD ST,213
1023529.0,BROADWAY/W 137 ST,70
1024647.0,GRAND CONCOURSE/VAN CORTLANDT AV EAST,106
1025786.0,21 ST/45 RD,111
1026683.0,GRAND CONCOURSE/E 153 ST,258
1027808.0,EAST HOUSTON ST/AV C,138
825129.0,CENTRAL PARK WEST/W 100 ST,214
826685.0,THROOP AV/JEFFERSON AV,62
1380326.0,E 72 ST/1 AV,69
1144861.0,ATLANTIC AV/BOERUM PL,156
1146653.0,CENTRAL PARK WEST/W 97 ST,114
1150382.0,3 AV/E 118 ST,100
1150869.0,RIVERSIDE DR/W 112 ST,87
1151343.0,FREDERICK DOUGLASS BLVD/114 ST,7
1155885.0,HALSEY ST/MALCOLM X BLVD,183
1157522.0,BEDFORD AV/N 5 ST,149
1030254.0,WILSON AV/CORNELIA ST,224
1035120.0,ASTORIA BLVD SOUTH/77 ST,319
1036498.0,GREENPOINT AV/47 ST,1760
1038802.0,MEEKER AV/MORGAN AV,145
1040156.0,W 23 ST/7 AV,149
1042806.0,PARSONS BLVD/ELM AV,293
1392079.0,BROOKLYN AV/SAINT JOHNS PL,124
1392144.0,NEW YORK AV/SAINT JOHNS PL,48
1396458.0,WASHINGTON AV/PROSPECT PL,4
1398234.0,BOWERY/PRINCE ST,94
1401826.0,48 AV/GREENPOINT AV,243
1044731.0,BEDFORD AV/CHURCH AV,64
1045897.0,DRIGGS AV/N 9 ST,33
1049224.0,ADAM C POWELL BLVD/W 133 ST,66
1056445.0,E 65 ST/5 AV,122
1060019.0,E 79 ST/3 AV,30
1063020.0,3 AV/E 109 ST,75
1166947.0,BROADWAY/W 187 ST,82
1167658.0,GREEN ST/MANHATTAN AV,118
1187643.0,LINCOLN AV/BRUCKNER BLVD,105
1195260.0,CHURCH AV/TROY AV,248
1407633.0,MANHATTAN AV/W 121 ST,120
1072481.0,W 23 ST/7 AV,57
1076324.0,GREENPOINT AV/47 ST,273
1080543.0,39 ST/2 AV,127
1087215.0,9 AV/W 25 ST,132
1411811.0,7 AV SOUTH/BEDFORD ST,156
1440363.0,SAINT NICHOLAS AV/W 135 ST,41
1205103.0,MYRTLE AV/CARLTON AV,41
1209921.0,HALSEY ST/PATCHEN AV,190
1210916.0,2 AV/E 46 ST,123
1213745.0,BROADWAY/W 84 ST,170
1215122.0,BROADWAY/W 140 ST,115
1215627.0,VAN WYCK SOUTH SERVICE RD/BUILDING 90,17072
1220548.0,ATLANTIC AV/124 ST,219
1453998.0,FULTON ST/SOUTH ELLIOT PL,188
1098863.0,DECATUR ST/KNICKERBOCKER AV,203
1100421.0,SMITH ST/BERGEN ST,132
1101035.0,LIVINGSTON ST/BOND ST,98
1101224.0,LEWIS AV/MADISON ST,156
1102942.0,2 AV/E 31 ST,58
1108309.0,EMMONS AV/E 26 ST,189
1457505.0,SAINT JOHNS PL/ROCHESTER AV,226
1461965.0,BROOKLYN AV/BERGEN ST,127
1465446.0,MOUNT MORRIS PARK WEST/W 121 ST,57
1221962.0,6 AV/W 20 ST,103
1245479.0,MONTROSE AV/GRAHAM AV,94
1255828.0,AMSTERDAM AV/W 77 ST,85
1256670.0,E 86 ST/2 AV,180
1258651.0,ADAM C POWELL BLVD/W 121 ST,78
1474752.0,METROPOLITAN AV/HAVEMEYER ST,159
1475084.0,ESSEX ST/GRAND ST,12
1117706.0,BEDFORD AV/GRAND ST,91
1118031.0,CLEVELAND  PL/SPRING ST,111
1123737.0,BROADWAY/W 157 ST,112
1126492.0,LAFAYETTE AV/SOUTH PORTLAND AV,76
1127770.0,LORIMER ST/JACKSON ST,66
1130680.0,SCHAEFER ST/BUSHWICK AV,41
1131804.0,MALCOLM X BLVD/W 127 ST,110
1478946.0,8 AV/W 31 ST,135
1479283.0,8 AV/W 28 ST,136
1480002.0,ALLEN ST/DELANCEY ST,184
1263964.0,CONVENT AV/W 129 ST,82
1268154.0,GRAND AV/MASPETH AV,389
1278784.0,E 149 ST/TINTON AV,159
1279234.0,ROGERS AV/LINCOLN PL,112
1486099.0,MEEKER AV/KINGSLAND AV,202
1491991.0,5 AV/UNION ST,132
1506985.0,5 AV/W 120 ST,114
1137093.0,LORIMER ST/JACKSON ST,66
1137270.0,BROADWAY/W 88 ST,57
1696381.0,3 AV/E 118 ST,7
1702533.0,DEAN ST/4 AV,115
1702781.0,21 ST/BROADWAY,194
1707850.0,NOSTRAND AV/RUTLAND RD,118
1511303.0,NOSTRAND AV/MAPLE ST,85
1281257.0,WATER ST/MAIDEN LN,294
