숙소id,공항,자동차거리(m)
3922417,LGA,15234
3923128,LGA,13553
3689140,LGA,17483
3939535,JFK,10028
3783021,LGA,14205
3785438,LGA,15150
3791244,LGA,17260
3791325,LGA,13664
3793161,LGA,4746
3803622,LGA,16381
3710685,LGA,6860
3713233,LGA,20034
3715638,LGA,11569
4070025,LGA,15528
4074248,LGA,11397
3945636,LGA,5306
3817666,LGA,15079
3835681,LGA,4725
3838375,LGA,12791
3953314,LGA,15829
4081707,EWR,37838
4110645,EWR,31163
4121363,LGA,10155
3953415,LGA,15710
3962389,JFK,21817
3963635,LGA,21031
3839717,LGA,6131
3848105,LGA,19543
3850493,JFK,21855
3851911,LGA,15575
3968434,LGA,13455
4126676,LGA,14781
4128337,LGA,20849
4128428,LGA,13081
4132116,LGA,26739
4134035,LGA,15468
3979611,LGA,10130
3852261,JFK,18380
3852538,LGA,15511
3866888,LGA,13224
3985673,LGA,15582
3987571,LGA,15744
3987599,LGA,19360
3989564,LGA,21500
3998977,LGA,12575
4136252,LGA,10899
4140776,LGA,11812
4152752,LGA,15736
4162119,LGA,15706
4162292,LGA,25781
4162519,LGA,19937
3873451,LGA,13040
4010865,LGA,12704
3889997,LGA,15865
3891031,LGA,16591
3902156,LGA,15502
4271877,LGA,19854
4016142,LGA,14396
4162667,LGA,15776
4169094,LGA,4560
4174847,LGA,10065
4020425,LGA,9657
4025329,LGA,10768
4026150,LGA,5428
4031463,LGA,20338
4033422,EWR,22714
4285522,LGA,10631
4293040,LGA,13906
4293935,LGA,16358
4033444,LGA,21159
4033521,LGA,20052
4183424,LGA,17153
4183801,LGA,20562
4183989,LGA,10834
4198695,LGA,26422
4037522,LGA,3799
4038794,LGA,14841
4296710,LGA,17541
4296956,JFK,14912
4297952,LGA,15200
4299536,LGA,15086
4303600,LGA,15212
4305170,LGA,14803
4053517,LGA,11090
4206034,EWR,25424
4216813,LGA,9520
4058515,LGA,14177
4059620,LGA,15733
4060446,LGA,17881
4338548,LGA,14345
4343913,LGA,15486
4349358,LGA,15246
4067820,LGA,15592
4225738,LGA,16629
4233006,EWR,30702
4235620,LGA,10633
4241028,JFK,7220
4452723,JFK,9897
4352537,LGA,14507
4354764,JFK,15233
4355934,LGA,12289
4453484,LGA,12293
4455301,LGA,14567
4456312,LGA,21100
4249342,LGA,16959
4260964,LGA,11332
4263802,LGA,15189
4264049,LGA,4040
4264127,LGA,4603
4265471,LGA,14541
4464508,LGA,19110
4359718,LGA,18407
4377929,LGA,15578
4378951,LGA,14318
4469650,LGA,10528
4268286,LGA,9895
4573728,LGA,14547
4576206,LGA,16067
4472978,LGA,14944
4492303,LGA,17124
4387152,LGA,11333
4396939,LGA,15155
4397455,JFK,15877
4399443,LGA,10199
4594389,LGA,12619
4498688,LGA,16012
4498927,LGA,12250
4426780,LGA,10735
4428854,LGA,10422
4500530,LGA,14527
4614091,LGA,21779
4614838,LGA,15759
4504115,LGA,18473
4431674,LGA,11407
4436944,LGA,22425
4621213,LGA,14439
4621217,LGA,14448
4621713,LGA,14535
4509560,LGA,14448
4513084,LGA,12638
4514042,LGA,12555
4517848,LGA,13758
4525334,LGA,19931
4440751,LGA,15087
4707959,LGA,14103
4711070,LGA,6803
4711396,LGA,5642
4629870,LGA,16731
4632795,LGA,14271
4637053,LGA,6076
4637146,LGA,13186
4530432,LGA,13693
4532913,LGA,12109
4714854,LGA,11910
4537500,LGA,5750
4538012,LGA,12276
4539480,LGA,10960
4643199,LGA,13375
4644669,LGA,12931
4645170,LGA,15026
4645319,LGA,19871
4660022,LGA,15776
4539943,LGA,18461
4541102,LGA,23122
4738429,LGA,15701
4545999,LGA,16020
4668244,LGA,10876
4668252,LGA,13044
4677654,LGA,18566
4549557,LGA,11102
4550602,LGA,16167
4688209,LGA,11388
4688418,LGA,13375
4556564,LGA,13602
4557370,LGA,16738
4559096,LGA,15029
4742068,EWR,31777
4747624,LGA,15435
4705670,LGA,6808
4787201,LGA,22058
4790969,LGA,18380
4904582,LGA,16837
4753639,LGA,12662
4753866,LGA,12672
4753918,LGA,20151
4756551,LGA,17950
4907861,LGA,11673
4795857,LGA,14226
4798723,LGA,13539
4807244,LGA,22939
4916340,LGA,15383
4920338,LGA,13036
4759680,LGA,19140
4760085,LGA,16481
4760107,LGA,16730
4766284,LGA,10123
4768778,LGA,10520
4920448,LGA,15001
4808239,LGA,13935
4813342,LGA,15233
4815953,LGA,12458
4820897,LGA,15396
4822181,LGA,13226
4920489,LGA,12649
4925368,LGA,19795
4927910,LGA,20083
4928303,LGA,16184
4782569,LGA,32357
4936254,LGA,14632
4823386,LGA,5428
4823529,LGA,12850
4824310,LGA,12397
4824361,LGA,11954
4783902,LGA,17146
4784570,LGA,20672
4786675,LGA,12084
5083907,LGA,14149
4947515,LGA,10893
4956469,LGA,15194
4830799,LGA,19655
4963237,LGA,19542
4963511,LGA,19523
5085803,LGA,12189
5094593,LGA,11987
5095468,LGA,11530
5106041,LGA,25344
5106749,LGA,5947
4968633,LGA,14417
4968798,LGA,2526
4845290,LGA,16318
4976848,LGA,14390
4978241,LGA,11064
5113910,EWR,37929
5115870,LGA,9761
5121827,LGA,12419
5125051,LGA,12526
4987238,LGA,16593
4860430,LGA,13940
4860650,LGA,18964
4862917,LGA,15859
4987929,LGA,5589
4880542,LGA,11810
4881420,LGA,15859
5144689,LGA,10217
5150206,LGA,13062
5175054,LGA,15482
5004463,LGA,26649
5006113,LGA,16306
5010368,LGA,13113
5013564,LGA,16881
5020687,LGA,6141
4885673,LGA,17310
4886168,LGA,16456
5353312,LGA,13113
5195568,JFK,24922
5199439,LGA,13041
5224210,LGA,18866
5231817,LGA,12993
5050156,LGA,14881
5058359,LGA,16458
5065185,LGA,13902
5353612,LGA,17826
5358354,LGA,14874
5362041,LGA,11006
5363874,LGA,13367
5237336,LGA,13614
5251340,LGA,18791
5628539,LGA,13619
5638917,LGA,9771
5647213,LGA,20857
5649163,LGA,15184
5389907,LGA,5284
5397568,LGA,12342
5406041,LGA,15557
5649623,LGA,15673
5269840,LGA,21364
5274268,LGA,11473
5287414,LGA,14092
5287733,JFK,7150
5291956,LGA,26521
5661631,LGA,20881
5663222,LGA,10996
5413565,LGA,11500
5414911,LGA,7161
5433746,LGA,19144
5434150,LGA,16659
5439372,LGA,10615
5442054,LGA,16611
5297292,LGA,20083
5298896,LGA,19543
5301003,LGA,18089
5309959,JFK,10247
5442313,LGA,19087
5442584,LGA,14574
5443318,LGA,14874
5445314,LGA,15614
5454050,LGA,14874
5469274,LGA,13862
5679938,LGA,16912
